gene_names,pg_n1,pg_n1n2,pg_n1Andn1n2,pg_full,pnl_n1,pnl_n1n2,pnl_n1Andn1n2,pnl_full,n1_size,n2_size,gene_ind,gene_name
ENSG00000270091.1,0.51518612478073,0.9209606071728862,0.8521569727281815,0.7661320131894127,0.8496407803610523,0.9260783900499633,0.9004559899290536,0.8134913277579563,20000.0,158162.0,15637.0,RP11-78O7.2
ENSG00000266126.1,0.9584908151358718,0.7627102300359914,0.928139847094783,0.6261875763122623,0.9959083969754126,0.7010653659089952,0.9918943498583471,0.562671452493358,20000.0,158162.0,15638.0,RP11-209D14.4
ENSG00000108599.14,0.39212413102111804,0.9418065931762605,0.8801047351186987,0.6372179424689347,0.3722564261614467,0.5570718785688283,0.4614975082233012,0.9653026420612019,20000.0,158162.0,15639.0,AKAP10
ENSG00000189423.11,0.20040753943726958,0.280521266658078,0.23505561556562382,0.23299940795129231,0.28047300304789907,0.25571226378509126,0.26766252497261345,0.15847616751379828,20000.0,158162.0,15642.0,USP32P3
ENSG00000170298.15,0.8171336237437303,0.9894965406482569,0.9800313097655364,0.7502951105194777,0.969616211602758,0.9036622406825854,0.9536808897446516,0.45687049973935967,20000.0,158162.0,15643.0,LGALS9B
ENSG00000124422.11,0.7112679837197543,0.7769997928230796,0.7474277782049247,0.7462857215480201,0.7414670612330886,0.8237528102865688,0.7892190980350933,0.8972946494672862,20000.0,158162.0,15645.0,USP22
ENSG00000212719.10,0.9616420232987362,0.34743242253501505,0.9194946983936216,0.11973593676748046,0.9451351112695037,0.3582023736772774,0.884476917403151,0.07988060896340266,20000.0,158162.0,15651.0,C17orf51
ENSG00000109046.14,0.37535319596817024,0.22344462201985538,0.2856686882477718,0.3835389471477865,0.416198070188812,0.8612054862104165,0.7398743883040627,0.32972798922721536,20000.0,158162.0,15654.0,WSB1
ENSG00000141068.13,0.19699825734735021,0.5131997875877887,0.30963598351160204,0.3635378305051355,0.44686334397704225,0.6185811868383408,0.5352322369683891,0.4392983493876692,20000.0,158162.0,15655.0,KSR1
ENSG00000168961.16,0.6443263785737272,0.7305156588196798,0.6913652569542325,0.49589612722066645,0.7032126327057536,0.785261124470635,0.7493926241075044,0.6669033640808507,20000.0,158162.0,15657.0,LGALS9
ENSG00000244045.12,0.2622472985976627,0.031245878766534618,0.056842640411659706,0.007815748086355767,0.21740922878565977,0.030044739368931095,0.05347819044443103,0.008741884717057835,20000.0,158162.0,15665.0,TMEM199
ENSG00000167525.13,0.8843822713141528,0.9443719447428391,0.9246874289772531,0.05362903251643697,0.45504370996422333,0.43697392399428553,0.44596487343920954,0.11177724628270552,20000.0,158162.0,15685.0,PROCA1
ENSG00000221995.5,0.7056980049222332,0.6967248182294424,0.7012577320877904,0.9169844842419044,0.6831845275640782,0.7212168559748123,0.7030401327647654,0.8014137647343843,20000.0,158162.0,15704.0,TIAF1
ENSG00000167543.15,0.45364381633664996,0.7592454435697604,0.6363380749996691,0.7915041904047677,0.48892086193891005,0.7512815989510587,0.6441614341155144,0.9014000932688349,20000.0,158162.0,15708.0,TP53I13
ENSG00000108262.15,0.26553197924424515,0.5504567276686546,0.3862152049834928,0.898431585789633,0.848792403361754,0.4350017507445448,0.7276582474744434,0.8281897082639043,20000.0,158162.0,15712.0,GIT1
ENSG00000141298.17,0.9443447690570951,0.19905070867579466,0.8607364240164479,0.5879434320799269,0.5183259690043888,0.7269645405976879,0.6375570928488409,0.7544699677788832,20000.0,158162.0,15716.0,SSH2
ENSG00000264538.6,0.11938286983782487,0.6915828806390423,0.2621215789349684,0.400750092977844,0.17580426995148757,0.7856325922282759,0.44187347241893676,0.7074474804278013,20000.0,158162.0,15725.0,SUZ12P1
ENSG00000176390.11,0.19273191588819932,0.06900083220543812,0.10265126767098087,0.6422646601479426,0.2868578669851215,0.05495621043298793,0.09465841720035006,0.5112775984174228,20000.0,158162.0,15730.0,CRLF3
ENSG00000126860.11,0.8647708882503675,0.17799230489924783,0.5946063318192536,0.43693217396350714,0.9451103277751998,0.5637720668743751,0.8966938776313225,0.33461784933550665,20000.0,158162.0,15744.0,EVI2A
ENSG00000126858.16,0.755297509430287,0.7425074674018187,0.7490301193107751,0.6534175777997829,0.499833960830666,0.6975983209468934,0.6092260115994892,0.6561049203888549,20000.0,158162.0,15754.0,RHOT1
ENSG00000176658.16,0.18996104666551844,0.6994380815673306,0.3860797565525757,0.5444399795227082,0.20367876737908958,0.6259690554053606,0.3620205291401714,0.895034422807133,20000.0,158162.0,15766.0,MYO1D
ENSG00000006042.11,0.7229089530120222,0.8311386263746349,0.7881444084004967,0.7685092132796308,0.7039007333213279,0.8567408956723725,0.8033863296268821,0.5471893933491411,20000.0,158162.0,15767.0,TMEM98
ENSG00000005156.11,0.4423570779925031,0.8469332782606364,0.727329600651954,0.4961416932367178,0.45563009054852405,0.8196823003292978,0.69778993992841,0.464194945170483,20000.0,158162.0,15772.0,LIG3
ENSG00000073536.17,0.29857910540828525,0.9079470967170684,0.7929064097195306,0.9260531069510302,0.29054241344102305,0.980612144366413,0.9594760252812005,0.880646496996756,20000.0,158162.0,15776.0,NLE1
ENSG00000141161.11,0.6277938944280816,0.5137371043105277,0.5731254228883208,0.9310467522490524,0.7198048568433819,0.8407546354656432,0.7945252716115209,0.8286318308951897,20000.0,158162.0,15777.0,UNC45B
ENSG00000166750.9,0.8244876992855539,0.4247901883478245,0.6928132947454546,0.4396956558719178,0.9342509755513673,0.4873271035905176,0.8727233101193173,0.7955138992961992,20000.0,158162.0,15779.0,SLFN5
ENSG00000270379.5,0.7099706415794232,0.9100158439425539,0.8590703301737372,0.7581919963246253,0.7173762104463524,0.7379724411271785,0.7279639576564078,0.5659527990190364,20000.0,158162.0,15802.0,HEATR9
ENSG00000270240.2,0.6446621683495889,0.26987024011943417,0.43812196410894383,0.8761929020681491,0.5580757669837485,0.9055212578605332,0.8329343091278023,0.517456646013632,20000.0,158162.0,15803.0,AC015849.2
ENSG00000274767.1,0.9956884836026365,0.9521636321189879,0.9920861605513414,0.7566575896796546,0.40269022457555936,0.8263727471809585,0.6870376545436592,0.8604148357421207,20000.0,158162.0,15813.0,AC131056.3
ENSG00000276085.1,0.3473596894321397,0.2401117560849645,0.28676632687127257,0.9600041305327744,0.47110852274268605,0.6787813509847345,0.583681920556723,0.8951907391025765,20000.0,158162.0,15814.0,CCL3L3
ENSG00000276070.4,0.35201310386063445,0.7336801931686229,0.5629545253849315,0.6714246043090134,0.3725781668222179,0.8731780629913803,0.7461752929016762,0.5576274664629831,20000.0,158162.0,15815.0,CCL4L2
ENSG00000273611.4,0.812221205004994,0.9989005434874452,0.9978123999365096,0.6621586045104847,0.7569325365463023,0.7609529079763018,0.7589561514294755,0.4333340584082409,20000.0,158162.0,15817.0,ZNHIT3
ENSG00000278259.4,0.153464269601838,0.3626845875006219,0.223033193335976,0.33452836154426996,0.21655189787069978,0.7012768408805266,0.4215538761674135,0.34682984355317936,20000.0,158162.0,15819.0,MYO19
ENSG00000278311.4,0.7069223745243365,0.8450510820640931,0.7941918808691832,0.7190382267813572,0.9179449621507854,0.9599613073830668,0.9461134403792772,0.8597215758519656,20000.0,158162.0,15820.0,GGNBP2
ENSG00000276234.4,0.384707259703424,0.20073500129107824,0.27131198288085356,0.04249264644141365,0.7857452246731889,0.16491257444728746,0.4220065459007545,0.29096075476227634,20000.0,158162.0,15827.0,TADA2A
ENSG00000276023.4,0.09404183421443507,0.12775624042584094,0.10843662976533824,0.17170970736933044,0.4516912655292753,0.6794504041789678,0.574864557434007,0.026194859226955247,20000.0,158162.0,15828.0,DUSP14
ENSG00000278845.4,0.8310645774515325,0.6258511311250026,0.7593612731647312,0.9509548309408895,0.5297903478472511,0.6890038227007838,0.6168288304132097,0.7546486485240038,20000.0,158162.0,15834.0,MRPL45
ENSG00000277258.4,0.5925056808086671,0.42438398605317207,0.5090624329346612,0.24630192402157508,0.5210853150759627,0.5076951908374828,0.5143966253343614,0.2141813618300939,20000.0,158162.0,15842.0,PCGF2
ENSG00000277791.4,0.026160803112775133,0.25624169388300044,0.04821889448178024,0.2606176960959081,0.041128013222137993,0.21821242803003932,0.0702157686688476,0.21338618313841629,20000.0,158162.0,15843.0,PSMB3
ENSG00000161381.13,0.213906807017965,0.1641114059132759,0.18611250274767155,0.17811046616396659,0.8901064719734244,0.3684408953208912,0.775017400075864,0.14021454992696636,20000.0,158162.0,15851.0,PLXDC1
ENSG00000131748.15,0.1962404287018769,0.007848033895736739,0.015159829885777687,0.0066246199333340194,0.2888036841010221,0.025761133296911598,0.048184938951746414,0.010034893301874959,20000.0,158162.0,15861.0,STARD3
ENSG00000161405.16,0.3441255738306399,0.0036244488473164416,0.007204248894018106,0.008480842054930438,0.8576089463091305,0.9999999579794201,0.9999999159588632,0.7029803488100843,20000.0,158162.0,15868.0,IKZF3
ENSG00000073605.18,0.9820135185768243,0.04553134808938741,0.9413694015484375,0.000700658950877453,0.5144668921015253,0.7797988412521583,0.6781186312508962,0.24237342799690775,20000.0,158162.0,15869.0,GSDMB
ENSG00000172057.9,0.10907903257417845,0.13128837371415458,0.11920609618711403,0.014333626871537497,0.10215618912130864,0.624273026135657,0.20891253223796757,0.4880800867187022,20000.0,158162.0,15870.0,ORMDL3
ENSG00000167914.11,0.0461530939709931,0.12094034191438657,0.06705942786960783,0.2659401308436546,0.040063867130145536,0.14348157037124365,0.06302202153857273,0.548002761587305,20000.0,158162.0,15871.0,GSDMA
ENSG00000008838.19,0.07106803404286077,0.6452815791303974,0.15039255395008233,0.5267803983369107,0.19776635900371792,0.6545320488639143,0.36948803170853006,0.5253216293958358,20000.0,158162.0,15875.0,MED24
ENSG00000171475.13,0.9342300911595931,0.08483092111779866,0.6609933149392538,0.16653314036057204,0.6185008772460281,0.43022858398808844,0.5266307752828795,0.9253779949202714,20000.0,158162.0,15881.0,WIPF2
ENSG00000131759.17,0.1555550835384646,0.208044415198471,0.17841707387002798,0.1675482347369271,0.18323590951996832,0.25382570674741056,0.2137163510760267,0.1347013674780807,20000.0,158162.0,15883.0,RARA
ENSG00000265666.1,0.9810344991160318,0.8390401825388547,0.9658491681165442,0.051123039410197524,0.6432629429236244,0.5636510313565903,0.6051520162073672,0.3726914004774088,20000.0,158162.0,15884.0,RARA-AS1
ENSG00000108244.16,0.6044767255019698,0.6272533342294768,0.6160203893591857,0.9450874828284324,0.7959230912416169,0.6052426239969011,0.7226867124285621,0.9907843237597713,20000.0,158162.0,15896.0,KRT23
ENSG00000173801.16,0.061218309286589945,0.6676612089855671,0.13172662649754802,0.09195023020630677,0.045936699906529876,0.9401562007860533,0.28281685963795855,0.22503950454416427,20000.0,158162.0,15904.0,JUP
ENSG00000141698.16,0.25318435154939445,0.21830469421521126,0.23469726352860015,0.5059697930322978,0.17735804934372035,0.33425322640686883,0.23640731214280353,0.9828853930278687,20000.0,158162.0,15907.0,NT5C3B
ENSG00000173786.16,0.9289692901225811,0.46587223322925814,0.8613955681370766,0.6131522555225974,0.8359719474103522,0.3937223619167769,0.6964020704056111,0.4020691833229538,20000.0,158162.0,15912.0,CNP
