gene_names,pg_n1,pg_n1n2,pg_n1Andn1n2,pg_full,pnl_n1,pnl_n1n2,pnl_n1Andn1n2,pnl_full,n1_size,n2_size,gene_ind,gene_name
ENSG00000187017.15,0.769926902039788,0.6038270504773078,0.701963265786459,0.3738859786827039,0.6441194634874391,0.552300104717872,0.600349735915513,0.42081640769334394,40000.0,138162.0,126.0,ESPN
ENSG00000171680.21,0.36427737714064934,0.8454344242195659,0.6987026514740798,0.3656351687896008,0.3406003160947567,0.8581467919375709,0.709475190285336,0.5825762873921995,40000.0,138162.0,128.0,PLEKHG5
ENSG00000204859.12,0.058460688812754846,0.1792663397836542,0.08898001352669827,0.34222750977374194,0.5083156967105532,0.30275325912120027,0.3946403290133124,0.3227034475988858,40000.0,138162.0,130.0,ZBTB48
ENSG00000116273.5,0.7692179483695629,0.44375096564889666,0.6411670860180646,0.18903489911180388,0.6540128189839066,0.9639070665765387,0.9326213855852317,0.3162485845591778,40000.0,138162.0,131.0,PHF13
ENSG00000049245.12,0.19433875591500327,0.7194700964799994,0.4065426453142025,0.5123488358305543,0.23539706873078925,0.8480500891257118,0.6261636894485284,0.608348943523551,40000.0,138162.0,136.0,VAMP3
ENSG00000142599.17,0.6557650070676558,0.7208033056774066,0.6905314329882097,0.7260169170189938,0.6517054546557224,0.7942496365267555,0.7368868561541927,0.28197603310724506,40000.0,138162.0,145.0,RERE
ENSG00000228526.6,0.10821004609086549,0.27829522158130504,0.15905438471644473,0.3285091249302813,0.12602831634616352,0.24055757837136982,0.1670900480167618,0.4414407078873277,40000.0,138162.0,153.0,MIR34AHG
ENSG00000054523.17,0.9120360991491012,0.5791150444862628,0.8450873043708438,0.26645509451999233,0.924794038132252,0.7083899242066054,0.8771244230695197,0.5664959311300539,40000.0,138162.0,169.0,KIF1B
ENSG00000241563.3,0.010365214759156693,0.3638608864934674,0.020406335624631733,0.35516464589601504,0.82795323892007,0.8056284122359387,0.8173946007729813,0.8288085424671476,40000.0,138162.0,172.0,CORT
ENSG00000142655.12,0.7021532977424176,0.5395394163397341,0.6295052453046935,0.8233670350693041,0.86565595789753,0.5456021501396368,0.7769680602031315,0.9790944194308229,40000.0,138162.0,174.0,PEX14
ENSG00000198793.12,0.9627889885667968,0.9438354883054263,0.9552231350318698,0.20932739107920195,0.9025001149391458,0.9687232859876294,0.9525124051443659,0.25823846972792,40000.0,138162.0,185.0,MTOR
ENSG00000116661.9,0.013457832090318811,0.6545462780544317,0.027478142556655316,0.07513372350166375,0.0165131065827952,0.9523233351015139,0.04998064968121274,0.07284867639794407,40000.0,138162.0,189.0,FBXO2
ENSG00000177000.10,0.5051900832369876,0.15429211220865718,0.25962496370903343,0.7835930550060178,0.4966227559679548,0.48670241749478443,0.4916605614111162,0.3902227157107515,40000.0,138162.0,194.0,MTHFR
ENSG00000011021.21,0.28786759936894624,0.9629656473263557,0.9198048489701528,0.6706169883423664,0.3433492027886174,0.7681463375976325,0.59056680462713,0.7722059748039846,40000.0,138162.0,195.0,CLCN6
ENSG00000242349.5,0.45747443028535645,0.32381143494827386,0.3854723414576688,0.7435270232374696,0.4016657239011255,0.1421748322979854,0.22067958116478187,0.3628979396573967,40000.0,138162.0,196.0,NPPA-AS1
ENSG00000116685.15,0.39531894529682615,0.7055077087162102,0.5646765299144445,0.6382070897017479,0.48743536394782655,0.4944658799215568,0.4909495178936378,0.5532916064542313,40000.0,138162.0,199.0,KIAA2013
