gene_names,pg_n1,pg_n1.1,pg_n1.2,pnl_n1,pnl_n1.1,pnl_n1.2,pg_n1n2,pg_n1n2.1,pg_n1n2.2,pnl_n1n2,pnl_n1n2.1,pnl_n1n2.2,pg_full,pg_full.1,pg_full.2,pnl_full,pnl_full.1,pnl_full.2,n1_size,n2_size,gene_ind,gene_name
ENSG00000067606.16,0.18194377558402824,0.7788270665892104,0.09793548245645747,0.18644119428477174,0.7642121604135018,0.215503852629802,0.2939017674269446,0.6477714977512934,0.9056014276949388,0.29298813855960554,0.6479631060761639,0.912181439511134,0.8005297110003768,0.8592170410473196,0.6385290843604041,0.8785721969989465,0.8164705747606931,0.5144068377225517,60000.0,118162.0,84.0,PRKCZ
ENSG00000116151.13,0.9452454389030358,0.5763603700648054,0.2543043124798321,0.8889610090919331,0.7240330417403162,0.2474223532810103,0.9760692411993346,0.5484105805413855,0.6064185793258801,0.9652290610373118,0.7189222824877233,0.6238341443208779,0.7533193203916201,0.442026916811986,0.7783909503461638,0.7559411910080533,0.6245644799368709,0.722804085050256,60000.0,118162.0,91.0,MORN1
ENSG00000149527.17,0.6077901481820106,0.9066359499044024,0.4411617390295503,0.6069736491113585,0.4385807167564314,0.8271269292405955,0.5329848195894067,0.34660457957692725,0.5495055337886254,0.5944827204515332,0.3388348205257422,0.5626278539911405,0.2986554490743552,0.16041800303751613,0.204061187785934,0.2959619572834914,0.16464093236449326,0.21449122435119214,60000.0,118162.0,94.0,PLCH2
ENSG00000238164.6,0.6992106516865416,0.6048778573648734,0.1533186489579274,0.6082838491755741,0.7193833186037316,0.16275471883669487,0.5583833136503071,0.9627481957350412,0.3264569215406431,0.5650417016942841,0.8021492663375938,0.29351287929432224,0.8875897295527457,0.6940018574199978,0.9227137633226012,0.7150893602747248,0.6097901609668819,0.736531406430085,60000.0,118162.0,100.0,RP3-395M20.8
ENSG00000228037.1,0.4670232594715492,0.6491849069824424,0.8731799154789829,0.4335761329810748,0.7186219971492145,0.8680739284005491,0.4337861925785269,0.2993717288499777,0.5481209393398732,0.4191122025276273,0.32357069327250754,0.5722791383995214,0.6591577939479489,0.7589746339600323,0.6562746911466221,0.8797095063051982,0.6199762374333526,0.7875608218246655,60000.0,118162.0,102.0,RP3-395M20.9
ENSG00000157870.14,0.27772119222099023,0.7741989422079929,0.5991617193830654,0.252018107984485,0.9734040220994898,0.5853772004553696,0.17622066135258269,0.9544226918208898,0.937182716931028,0.28274640328148704,0.5948395931577666,0.8037063502929305,0.5284213452292295,0.5009335474334106,0.978579976451324,0.394746944294759,0.4852164229907754,0.7724841487655429,60000.0,118162.0,103.0,FAM213B
ENSG00000142606.15,0.06513018237959123,0.017894505368575266,0.2990736770173396,0.08470651835555054,0.011425539430842187,0.3273984657730915,0.6194677820463063,0.7076917997593971,0.688211000216818,0.7866733531712635,0.9284505533456552,0.4818933719041805,0.9793553269875336,0.2612232370996372,0.4352537983146263,0.8757627468284653,0.2606762309442468,0.6122246573517396,60000.0,118162.0,104.0,MMEL1
ENSG00000215912.12,0.1790655781836681,0.2912252900927593,0.8331555922190503,0.27938515353633986,0.3899143501310913,0.8505618538582264,0.7993641893502859,0.2536429979970544,0.1646452625543345,0.7054098545705652,0.2707395867788664,0.2291850548877645,0.9036740266626884,0.3774370799336457,0.5558178955999528,0.5596796972014877,0.5789967404326286,0.422523466744288,60000.0,118162.0,105.0,TTC34
ENSG00000116213.15,0.6051621984990985,0.15061813420819198,0.0867748086996641,0.7580135106151243,0.10636115152633624,0.11002969161835717,0.8613923434456745,0.04412247267833529,0.2885658795747074,0.8608847853509685,0.044246016942240896,0.2879879661167243,0.3224011707086473,0.2190318044146688,0.9658838353734172,0.3147180793124651,0.2851848880425931,0.9161615660957779,60000.0,118162.0,110.0,WRAP73
ENSG00000235169.7,0.35419765452241136,0.8462154218630774,0.1842134147154809,0.15958538580274334,0.9436079747412708,0.35670341953216644,0.7970615316320082,0.06688675202207651,0.4220771192355073,0.6350478815278475,0.17535861109287293,0.4523467166842837,0.3048070499986273,0.6115289579821196,0.7676908268462163,0.2591943394484724,0.698789491653178,0.9315953461439216,60000.0,118162.0,112.0,SMIM1
ENSG00000116198.12,0.7452644005800027,0.4696662895175752,0.530800262718677,0.7712567637522841,0.7427840306361706,0.5694926403953353,0.7859581351901384,0.25364170152382204,0.8665621859852192,0.8738024625765238,0.32685746651438063,0.4198090623521013,0.9250468283165976,0.8232440694166208,0.9185694000336332,0.6842206226270746,0.6757037609039841,0.9199573083555274,60000.0,118162.0,115.0,CEP104
ENSG00000198912.10,0.2969333932086252,0.8548354589823951,0.35408140146954203,0.1619870133547967,0.8067749806878498,0.4990955966249091,0.6269425587032463,0.6318857771043633,0.8427329111776338,0.7564129113316519,0.6582620747994092,0.8566219986944013,0.15171646620656562,0.8060222186407997,0.13080130335387638,0.4791018737246404,0.5698860689405083,0.3208285733822651,60000.0,118162.0,117.0,C1orf174
ENSG00000069424.14,0.6888591511576491,0.3314564718652029,0.6120345195582471,0.6476417099063884,0.33178966747776995,0.6194744222173485,0.328002233158188,0.9088100003673786,0.4892855294440746,0.3257726743322411,0.9166516605869458,0.5117357269743199,0.4312008735283793,0.7854164259352109,0.3245781537789364,0.4623648677402635,0.6122323528153781,0.32233206045165075,60000.0,118162.0,119.0,KCNAB2
