gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000054523.17,0.9655114498393,0.0771780844523836,0.225533686988661,0.831510150509768,0.878192382963679,0.720051752760243,0.610009248623895,0.722462016543067,0.934089876194046,0.857358662191512,0.438825279242835,0.797700813143932,10454,367182,168,KIF1B,0.794523527173949,0.828575758793286,0.85157745703103,0.762296431365293
ENSG00000142655.12,0.209184451891317,0.561520789866778,0.936057807475499,0.21830401270797,0.291170610189705,0.972481509351566,0.907601820428698,0.62669774732692,0.526822757266723,0.674263415431812,0.55736499024733,0.785597156118492,10454,367182,173,PEX14,0.787709124467235,0.903081135467582,0.789402224881304,0.69043745367826
ENSG00000177000.10,0.936053313036281,0.986067189668218,0.54133029319483,0.981170392698919,0.908964302059579,0.488989731915701,0.873685800731536,0.819040624754903,0.377940504725054,0.870572401249298,0.804845238402803,0.375920897370383,10454,367182,193,MTHFR,0.965870924080797,0.953186036455737,0.776584724308358,0.766715741868073
ENSG00000011021.21,0.606642788077808,0.622357123322636,0.668255421810624,0.693256761751065,0.775587554096928,0.778841070042406,0.34252236168827,0.862128592474757,0.342982634951751,0.332857989241443,0.750513301683838,0.336987895960215,10454,367182,194,CLCN6,0.633422801257931,0.753658575173299,0.610503768021761,0.485341067330025
ENSG00000242349.5,0.728683021797325,0.348749532821731,0.756602677687102,0.747566394843968,0.32449971180095,0.964940702867582,0.971840452541295,0.774311780240116,0.852222300758817,0.996879548417766,0.785971263106496,0.769470360939008,10454,367182,195,NPPA-AS1,0.639172553160517,0.901784813588542,0.934783463583179,0.990854882679776
ENSG00000116685.15,0.120575160248269,0.222456470924231,0.513176555015362,0.0550363278343291,0.680268987403096,0.584966390070876,0.416260136318399,0.0399026736511635,0.746279731000356,0.435525073260223,0.0379920700093456,0.759365562903036,10454,367182,198,KIAA2013,0.218516074621951,0.177313497278827,0.1252317592022,0.12136492910758
ENSG00000083444.16,0.709724557665445,0.841707688807245,0.556669504024295,0.858852039948054,0.724091319997166,0.548542668925115,0.43438841948064,0.939120456960582,0.451511880015175,0.42451999728062,0.748780453880747,0.373507059708394,10454,367182,199,PLOD1,0.738833481726479,0.755638750599572,0.822251814755732,0.534975894290317
ENSG00000116688.16,0.726776588707564,0.426996606877449,0.70165470779527,0.870659842307515,0.460060715980262,0.670969748306344,0.546183080033839,0.697561067932953,0.232945838785412,0.499426058519343,0.354596575076393,0.230986221318956,10454,367182,200,MFN2,0.635905596584651,0.738656425674412,0.473290925620419,0.342354086599745
ENSG00000116691.10,0.548715655141888,0.501710119964212,0.612117079675023,0.749999052759645,0.963361970281321,0.435573647244152,0.117727572470664,0.805813431829589,0.27930310551575,0.136886884720172,0.906499057904862,0.237454825472419,10454,367182,201,MIIP,0.555369891574932,0.902097388032848,0.314327781347108,0.504621810333656
ENSG00000197312.11,0.871776318120416,0.243968377377046,0.360417413495848,0.879007293539369,0.961181283365985,0.499653204069163,0.881699213840279,0.991182453566367,0.983898238917888,0.996782379504491,0.882047401722089,0.876220175912027,10454,367182,220,DDI2,0.586813683800978,0.91268573219689,0.983664997551575,0.990815086188485
