gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size,ukb_size,gene_ind,gene_name
ENSG00000149527.17,0.2439693716363376,0.4882882831436226,0.782446183369904,0.8138446799835342,0.7130998479526361,0.4307422846925709,21.623482201754992,5.161524122968354,11,10454,367182,94,PLCH2
ENSG00000157870.14,0.8580826501574599,0.9071012207743868,0.6863900190972152,0.9518330227520192,0.1324945984581007,0.0444661527999299,13.12031751376236,2.7445466543243686,4,10454,367182,102,FAM213B
ENSG00000142606.15,0.7226693274485744,0.8560357614040073,0.6671668958161034,0.2270286029628113,0.4800644483217076,0.9274506764271608,13.089670853687508,2.5128034882314583,3,10454,367182,103,MMEL1
ENSG00000215912.12,0.3169220706207181,0.1175448621440134,0.0701223139967386,0.0237058412391966,0.060674308176875,0.4846195859483492,13.98592486388504,3.5073255462681123,3,10454,367182,104,TTC34
ENSG00000116213.15,0.9659116230964028,0.3308345291018006,0.1370882931870247,0.4193111808999311,0.7071060221022789,0.8397210655925722,19.63302946855248,3.772341065843714,6,10454,367182,109,WRAP73
ENSG00000235169.7,0.461770070735065,0.7392966989235292,0.8025346919495089,0.0556031557433376,0.1027798656840227,0.3464465798640217,25.644413361526908,3.7763594999876973,6,10454,367182,111,SMIM1
ENSG00000130764.9,0.7031066296825885,0.9050411117529906,0.8157531899003585,0.3078219737030823,0.2621079786881723,0.2006002620979311,15.744536782965,3.2515845579322633,4,10454,367182,113,LRRC47
ENSG00000116198.12,0.350887706965924,0.6245789366188357,0.7896709457375103,0.3757637887691167,0.3343260023637329,0.2355947639714939,50.08799267201204,3.131637093169345,7,10454,367182,114,CEP104
ENSG00000198912.10,0.8071924691038947,0.2402697560638486,0.094718480511807,0.0041691989839759,0.0057994103319301,0.1481309865598543,10.342536620167364,2.392154816318815,9,10454,367182,116,C1orf174
ENSG00000069424.14,0.0383916545496671,0.0766766141444234,0.3568647664985268,0.0149663027511828,0.0302833333986891,0.3000680296488179,15.59884917583582,3.5657563687678704,5,10454,367182,118,KCNAB2
ENSG00000158286.12,0.354243375077103,0.5007321198053976,0.4686379744297535,0.5558067726518379,0.8402373882567196,0.9732384065251642,18.558104120975067,5.351702496802929,5,10454,367182,120,RNF207
ENSG00000116237.15,0.2213757634970065,0.4682769629566269,0.8820059908953004,0.0511903383303437,0.0609269518909531,0.1804241099910585,11.150510884544168,8.12243719754564,6,10454,367182,122,ICMT
ENSG00000215788.9,0.4850612377536458,0.1785979864152282,0.0854718341887458,0.691467688346793,0.5778696692554526,0.3324549243107121,10.595056893907472,7.658265438725767,5,10454,367182,126,TNFRSF25
ENSG00000171680.21,0.6557012087011229,0.86644134488316,0.7668133282558283,0.4637230622615648,0.3321370178258455,0.1965909798315854,16.72129907372341,14.96135296157555,8,10454,367182,127,PLEKHG5
ENSG00000162408.10,0.432924407434033,0.6664749388626151,0.657511757893009,0.6519060029046808,0.1317806814643623,0.0497542384415422,16.396058673995654,7.713127101463856,3,10454,367182,128,NOL9
ENSG00000204859.12,0.9696337369187208,0.9380516660190156,0.7221464479042412,0.0003396376257818,0.0008064466075646,0.2354401455220363,14.030037336868151,3.2325571326631612,5,10454,367182,129,ZBTB48
ENSG00000116273.5,0.5304486742647982,0.8160715689594346,0.9092492968961972,0.1763939698914144,0.3815759639822975,0.7528560615658256,23.71462705631935,6.737137068835762,5,10454,367182,130,PHF13
ENSG00000041988.15,0.6863315278403359,0.9167654382303828,0.917501696699697,0.0007713138654043,0.0034488010680858,0.8614718250413043,10.041989434954065,5.009266340347794,5,10454,367182,132,THAP3
ENSG00000049245.12,0.9353788034243185,0.9902192531567744,0.9089337292638072,0.9968730314985956,0.3467709972448708,0.145561034393139,15.225972881706763,5.8327318788756495,12,10454,367182,135,VAMP3
ENSG00000142599.17,0.4130169491372804,0.6322592622765145,0.6193144208995978,0.3111326308689668,0.4988855405390138,0.5457993863769721,11.564144154547128,4.449931868003076,7,10454,367182,144,RERE
ENSG00000178585.14,0.9760954501342952,,,0.7211568987802612,,,10.075588956017576,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f91e3f9f8c0> [RTYPES.NILSXP],3,10454,367182,161,CTNNBIP1
ENSG00000054523.17,0.2501169843868902,0.5159535203231991,0.976196723030877,0.0809406132021655,0.1169707959391944,0.2643654051062042,18.097396959352377,1.0766597978451555,3,10454,367182,168,KIF1B
ENSG00000142655.12,0.7043488592110909,0.5599339935012111,0.3135069158092997,0.0849253914496353,0.2134785603499356,0.7285848526359268,18.261752847910174,3.1556723524838066,3,10454,367182,173,PEX14
ENSG00000177000.10,0.982447756083096,0.9629370126279664,0.7841253288761729,0.0954461522814936,0.193070902856671,0.475413944840225,31.957420059961017,14.090688649188174,7,10454,367182,193,MTHFR
ENSG00000011021.21,0.8435366188301348,0.5666091059487628,0.2948891117949693,0.3342040773060515,0.419071963726628,0.3690423387682767,31.137363213072344,24.006005925230767,8,10454,367182,194,CLCN6
ENSG00000242349.5,0.8102294751887942,0.8476006360274935,0.6013139653451784,0.5490815254764942,0.1725858010395503,0.0757061672922586,40.41141417770639,13.0318596689885,5,10454,367182,195,NPPA-AS1
