gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000163964.14,0.957337225205523,0.18434733021053,0.467832962117943,0.966887731797886,0.468010391359756,0.864105613280229,0.605248744418177,0.210511824112084,0.192348708175425,0.729452231875954,0.679517074220742,0.388737532892442,10454,367182,4468,PIGX,0.987656282754289,0.605181165110434,0.285869898124533,0.616200049732328
ENSG00000119231.10,0.934084772645408,0.329244889074565,0.169026656044266,0.944763903928181,0.289749090685643,0.173188381312308,0.00079951098529,0.0024025649410424,0.296022770619662,0.0008255489659807,0.0025448858981793,0.264765196888772,10454,367182,4470,SENP5,0.805475096429756,0.409721145787882,0.00179712105949775,0.00186668123307376
ENSG00000230732.4,0.620985761337867,0.498458848105636,0.0295219554333666,0.639208921751588,0.51918106782343,0.0425261671392653,0.765886711109735,0.861029755246058,0.943861557627444,0.728958945992472,0.926155135341976,0.992506520684566,10454,367182,4471,AC127904.2,0.149181223084658,0.184960401357396,0.896070637645335,0.979956190366255
ENSG00000119227.7,0.455649502887246,0.489897014338478,0.713376369285506,0.434001591091176,0.43296459491284,0.79205476112301,0.594710307001372,0.719374580941939,0.943377668968568,0.677483578060529,0.985043145256076,0.776914829550294,10454,367182,4474,PIGZ,0.587742782319756,0.496336733459378,0.865867255952235,0.958847108008695
ENSG00000163975.11,0.129059328977148,0.706902671803241,0.696273184783046,0.26363253118967,0.778931520617865,0.722769556497363,0.545752911068778,0.865044242339638,0.942944923125404,0.505573097133473,0.785555597465134,0.66575516913242,10454,367182,4476,MELTF,0.215815551288166,0.253792183290717,0.884201406861228,0.675410428853704
ENSG00000214135.8,0.87260854582887,0.640233494834182,0.188718862844157,0.92371423826072,0.536184463837844,0.14664509582346,0.911790525066309,0.0820533027606221,0.420626895639859,0.606574636392946,0.125342310746612,0.311938851183668,10454,367182,4480,AC024560.3,0.253964874193735,0.296328369104034,0.444140366042237,0.265004745844186
ENSG00000249626.1,0.99039260935833,0.811977015500436,0.143655896977482,0.695099881752492,0.789119114195973,0.954152717882456,0.750107215556279,0.804054099002616,0.705745411796522,0.469885458601321,0.82710717231107,0.465742868337764,10454,367182,4481,RP11-496H1.1,0.755784653461535,0.766493378373401,0.758721422637913,0.643606551302573
ENSG00000114473.13,0.316132636793662,0.0669176541531427,0.40645446200382,0.668112364037473,0.986515698453575,0.279458246870575,0.0571802374188782,0.0787083480535032,0.0638379643064695,0.752284776882488,0.875340629309427,0.797490338357864,10454,367182,4487,IQCG,0.255283306837225,0.9541722896115,0.0654351886231755,0.821888003355418
ENSG00000272602.5,0.903002674176941,0.962001391511262,0.293866178306472,0.504873099669903,0.732822599370659,0.872704199291479,0.565477949124286,0.596187341465996,0.464874990995954,0.923389457609656,0.901837516021142,0.680874527802245,10454,367182,4490,ZNF595,0.521925842694658,0.731186031832563,0.543191375882533,0.883832945049703
ENSG00000250312.6,0.0727825190869791,0.399683418518837,0.501406709029593,0.0159032941688642,0.977607895728073,0.782266111403953,0.0444195375668578,0.19872435138409,0.0804960610216366,0.0297129146406345,0.108986197482085,0.0593199365019775,10454,367182,4491,ZNF718,0.0890961774620867,0.0385463750624379,0.075692840723521,0.05039306271684
ENSG00000275426.1,0.810278603319149,0.928834373392186,0.51958752102867,0.250999211953782,0.230345928970056,0.271327853484498,0.0665700245100218,0.0945646983148258,0.0632871768931043,0.146157070867136,0.4088028647996,0.0073547058556935,10454,367182,4492,CH17-262A2.1,0.306330229778784,0.474219896108549,0.0725087790959491,0.0209162096016968
ENSG00000182903.15,0.785516610888195,0.399213380975402,0.48221668883532,0.759917676727899,0.955808291871382,0.554434232862206,0.904580680407753,0.221079283947157,0.612369375719113,0.945664830426504,0.299143189068658,0.750754847049995,10454,367182,4497,ZNF721,0.583040664091127,0.848345159677992,0.714993419656567,0.853999370318433
ENSG00000242686.4,0.772396931023968,0.497362779672755,0.57539264592401,0.554961290814018,0.875874743386994,0.58531822024536,0.16853461545159,0.655656949898289,0.721217324127823,0.567516544669971,0.845529123060773,0.871312572144258,10454,367182,4500,RP11-1191J2.2,0.451003742754001,0.701206009520543,0.463767976053969,0.811151316426606
ENSG00000272927.1,0.289774081989209,0.726519902775464,0.682826939081172,0.769505929003281,0.925679982226326,0.84791961625248,0.684183340217418,0.221448389248057,0.212523789772819,0.253421531524628,0.761105976553419,0.709308356544589,10454,367182,4501,RP11-1191J2.5,0.546615005916886,0.697506971953632,0.326986837870662,0.589435037719926
ENSG00000215375.6,0.872054056405856,0.477174147619295,0.813119814651391,0.820519826039743,0.640725391373209,0.949587814862361,0.730858185331702,0.660990910248706,0.822633421075548,0.691066059281372,0.885425264861017,0.994632646256683,10454,367182,4503,MYL5,0.991633297114469,0.603819356497928,0.752378990752787,0.984767119252855
